key,press_time,release_time,platform_id,session_id,user_ids
'f',1.655763155028568e+18,1.65342052053353e+18,1,1,1
'a',1.653420520669749e+18,1.653420520837765e+18,1,1,1
'c',1.65342052083822e+18,1.653420521021408e+18,1,1,1
'e',1.653420520973452e+18,1.653420521117645e+18,1,1,1
'b',1.653420521125532e+18,1.653420521197575e+18,1,1,1
'o',1.653420521333597e+18,1.653420521381435e+18,1,1,1
'o',1.653420521461647e+18,1.653420521541534e+18,1,1,1
'k',1.653420521653647e+18,1.653420521733955e+18,1,1,1
Key.enter,1.653420522269614e+18,1.653420522333446e+18,1,1,1
'f',1.653420526285979e+18,1.653420526478138e+18,1,1,1
'd',1.653420526926216e+18,1.653420527118073e+18,1,1,1
Key.backspace,1.653420529285266e+18,1.653420529349285e+18,1,1,1
'p',1.653420529734031e+18,1.6534205298139e+18,1,1,1
'd',1.653420530333886e+18,1.65342053043797e+18,1,1,1
's',1.653420531565875e+18,1.653420531701902e+18,1,1,1
'o',1.653420531757748e+18,1.653420531837797e+18,1,1,1
'c',1.653420531894051e+18,1.653420532054024e+18,1,1,1
'i',1.653420532021843e+18,1.653420532125905e+18,1,1,1
'l',1.653420532317987e+18,1.653420532357811e+18,1,1,1
'a',1.653420532365824e+18,1.653420532445772e+18,1,1,1
Key.backspace,1.653420532621786e+18,1.653420532677763e+18,1,1,1
Key.backspace,1.653420532741831e+18,1.653420532813743e+18,1,1,1
'a',1.653420532853787e+18,1.653420532981503e+18,1,1,1
'l',1.653420532950056e+18,1.653420533037893e+18,1,1,1
Key.shift,1.653420533333179e+18,1.653420534069611e+18,1,1,1
'@',1.65342053388549e+18,1.653420534013857e+18,1,1,1
'g',1.653420534757732e+18,1.653420534877697e+18,1,1,1
'm',1.653420534909917e+18,1.653420535013906e+18,1,1,1
'a',1.653420535053679e+18,1.653420535214802e+18,1,1,1
'i',1.653420535189854e+18,1.653420535293891e+18,1,1,1
'l',1.653420535405877e+18,1.653420535501557e+18,1,1,1
'.',1.653420535661717e+18,1.653420535733827e+18,1,1,1
'c',1.653420536317804e+18,1.6534205364858e+18,1,1,1
'o',1.653420536413769e+18,1.653420536573671e+18,1,1,1
'm',1.653420536493696e+18,1.653420536653752e+18,1,1,1
Key.shift,1.653420542765528e+18,1.653420543293504e+18,1,1,1
Key.shift,1.653420545037432e+18,1.653420546085407e+18,1,1,1
'f',1.653420562628775e+18,1.653420562788881e+18,1,1,1
'p',1.653420563260565e+18,1.653420563372735e+18,1,1,1
'd',1.653420564212928e+18,1.65342056435117e+18,1,1,1
'1',1.653420564908775e+18,1.653420565036787e+18,1,1,1
's',1.653420565604845e+18,1.65342056574074e+18,1,1,1
'o',1.653420565900729e+18,1.653420565980726e+18,1,1,1
'c',1.653420566188758e+18,1.653420566332608e+18,1,1,1
'i',1.653420566484646e+18,1.653420566572629e+18,1,1,1
'a',1.65342056694882e+18,1.653420567084701e+18,1,1,1
'l',1.653420567220784e+18,1.653420567316722e+18,1,1,1
Key.shift,1.653420568388497e+18,1.65342056907671e+18,1,1,1
'@',1.653420568916562e+18,1.65342056898065e+18,1,1,1
'g',1.653420569796626e+18,1.653420569932311e+18,1,1,1
'm',1.653420570092729e+18,1.653420570196568e+18,1,1,1
'a',1.653420570516457e+18,1.653420570636587e+18,1,1,1
'i',1.653420570932595e+18,1.653420571020559e+18,1,1,1
'l',1.65342057116447e+18,1.653420571252737e+18,1,1,1
'.',1.653420571700456e+18,1.65342057181243e+18,1,1,1
'c',1.653420571956441e+18,1.653420572100422e+18,1,1,1
'o',1.653420572316388e+18,1.653420572412551e+18,1,1,1
'm',1.653420572508545e+18,1.653420572596426e+18,1,1,1
Key.shift,1.653420575716496e+18,1.653420576324572e+18,1,1,1
Key.shift,1.653420579028028e+18,1.653420580244406e+18,1,1,1
Key.shift,1.653421272820408e+18,1.653421273172475e+18,1,1,1
Key.shift,1.653421276620366e+18,1.653421277060295e+18,1,1,1
